Year,Region,Venues_paying,Venues_free,Venues_total,Visitors_paying_paid,Visitors_paying_notpaying,Visitors_paying_total,Visitors_free,Visitors_total,Euro
2015,PIEMONTE,11,9,20,1372348,441262,1813610,128318,1941928,10931980.29
2015,LOMBARDIA,10,16,26,1012170,538648,1550818,101780,1652598,5986736.5
2015,VENETO,11,3,14,678381,273488,951869,21887,973756,2611458.31
2015,FRIULI-VENEZIA GIULIA,3,11,14,186382,135449,321831,892717,1214548,1151233.5
2015,LIGURIA,6,2,8,54403,68198,122601,2478,125079,182674.9
2015,EMILIA ROMAGNA,26,7,33,426520,457172,883692,124746,1008438,1760796.5
2015,TOSCANA,31,28,59,4377331,1585064,5962395,783995,6746390,29902126.25
2015,UMBRIA,11,2,13,126969,109010,235979,5617,241596,467004.66
2015,MARCHE,7,10,17,243010,226733,469743,43805,513548,986158.5
2015,LAZIO,43,41,84,7721175,3067381,10788556,9576400,20364956,62911364.5
2015,ABRUZZO,6,13,19,30673,41146,71819,89176,160995,70532
2015,MOLISE,4,8,12,14647,14507,29154,46890,76044,28464
2015,CAMPANIA,30,28,58,3832533,2046919,5879452,1193390,7072842,35485065.23
2015,PUGLIA,9,8,17,284095,212224,496319,94898,591217,1190167.25
2015,BASILICATA,11,5,16,73912,119369,193281,62803,256084,186339.5
2015,CALABRIA,5,11,16,98007,128686,226693,130822,357515,408853
2015,SARDEGNA,12,7,19,235723,138455,374178,120450,494628,1233460
2016,PIEMONTE,10,8,18,1867076,484332,2351408,112615,2464023,13367382.44
2016,LOMBARDIA,10,16,26,1111069,620143,1731212,101256,1832468,7993159.35
2016,VENETO,12,2,14,783505,266022,1049527,8700,1058227,3192844.96
2016,FRIULI-VENEZIA GIULIA,3,11,14,215493,138578,354071,846760,1200831,1456039
2016,LIGURIA,8,3,11,110442,73038,183480,22487,205967,390503.55
2016,EMILIA ROMAGNA,27,6,33,488303,424606,912909,122560,1035469,2219286.25
2016,TOSCANA,30,31,61,4480287,1527017,6007304,389361,6396665,31085537.75
2016,UMBRIA,11,2,13,136851,117245,254096,5938,260034,567165.19
2016,MARCHE,7,10,17,255410,222715,478125,41116,519241,1356043.5
2016,LAZIO,44,41,85,7899541,2907027,10806568,9565150,20371718,67616298
2016,ABRUZZO,7,17,24,41041,51750,92791,47390,140181,144988
2016,MOLISE,10,2,12,19937,19835,39772,36481,76253,48693.5
2016,CAMPANIA,31,29,60,4354314,2308386,6662700,1278508,7941208,40165583.52
2016,PUGLIA,8,8,16,319506,221723,541229,87160,628389,1396514.75
2016,BASILICATA,11,4,15,78262,101543,179805,55663,235468,201068
2016,CALABRIA,6,10,16,141912,151253,293165,205098,498263,826893.5
2016,SARDEGNA,12,6,18,262668,132122,394790,124678,519468,1412742.5
2017,PIEMONTE,11,9,20,1923802,623317,2547119,82393,2629512,13414330.03
2017,LOMBARDIA,10,15,25,1076488,653958,1730446,123119,1853565,9194753.9
2017,VENETO,13,2,15,784475,300077,1084552,7860,1092412,3392006.76
2017,FRIULI-VENEZIA GIULIA,3,11,14,222074,159307,381381,900354,1281735,1765735
2017,LIGURIA,9,4,13,105094,99299,204393,54508,258901,433861.5
2017,EMILIA ROMAGNA,28,5,33,565107,484623,1049730,49263,1098993,2602786
2017,TOSCANA,32,33,65,4957263,1673689,6630952,428794,7059746,35472108.5
2017,UMBRIA,11,2,13,119772,117179,236951,11255,248206,544629.48
2017,MARCHE,7,10,17,246399,205949,452348,44647,496995,1422302.25
2017,LAZIO,48,49,97,8388577,3220210,11608787,11473000,23081787,75849708
2017,ABRUZZO,7,19,26,31759,50604,82363,41098,123461,118299
2017,MOLISE,11,2,13,28007,29518,57525,21866,79391,75943
2017,CAMPANIA,31,37,68,4835545,2543925,7379470,1434621,8814091,45322835.41
2017,PUGLIA,10,9,19,257670,304387,562057,189322,751379,1576480.5
2017,BASILICATA,11,4,15,76165,118818,194983,55437,250420,197857.75
2017,CALABRIA,9,8,17,165994,176077,342071,147131,489202,922318.5
2017,SARDEGNA,15,5,20,284513,145603,430116,129404,559520,1609809.5
2018,PIEMONTE,12,9,21,1838791,677152,2515943,95745,2611688,13352880.96
2018,LOMBARDIA,10,15,25,1054418,742471,1796889,123378,1920267,9503485.45
2018,VENETO,14,2,16,723870,259856,983726,7057,990783,3062704.87
2018,FRIULI-VENEZIA GIULIA,3,10,13,185935,147758,333693,830420,1164113,1725868.5
2018,LIGURIA,11,2,13,106150,113731,219881,72747,292628,463885.8
2018,EMILIA ROMAGNA,28,6,34,583925,483943,1067868,39239,1107107,2859961.6
2018,TOSCANA,31,33,64,5222563,1835998,7058561,503396,7561957,48969049
2018,UMBRIA,13,0,13,169281,135256,304537,2565,307102,668290.32
2018,MARCHE,7,9,16,268842,229428,498270,51373,549643,1902582
2018,LAZIO,48,49,97,8892469,3349292,12241761,12765242,25007003,84317158.5
2018,ABRUZZO,7,18,25,41024,52681,93705,60017,153722,146490
2018,MOLISE,11,2,13,29945,32627,62572,20674,83246,92029
2018,CAMPANIA,31,34,65,5049909,2589660,7639569,3865389,11504958,58015681.19
2018,PUGLIA,10,9,19,291108,304466,595574,199823,795397,1841963
2018,BASILICATA,11,4,15,82695,132756,215451,46744,262195,219145.25
2018,CALABRIA,11,9,20,169454,190847,360301,137931,498232,920820
2018,SARDEGNA,15,4,19,273506,110579,384085,119646,503731,1569103.5
