Type,Year,Venues_paying,Venues_free,Venues_total,Visitors_paying_paid,Visitors_paying_notpaying,Visitors_paying_total,Visitors_free,Visitors_total,Euro
MU,1996,123,43,166,5747579,3648059,9395638,409100,9804738,27621484.61
MU,1997,135,42,177,6026908,4210583,10237491,345179,10582670,29431475.98
MU,1998,132,47,179,6657040,4065564,10722604,343812,11066416,33300884.18
MU,1999,134,47,181,6129391,4027624,10157015,338941,10495956,32108057.5
MU,2000,140,46,186,6648046,3884931,10532977,340077,10873054,33383807.31
MU,2001,143,45,188,6530960,3656874,10187834,346139,10533973,33129435.46
MU,2002,141,51,192,6412189,3741414,10153603,370074,10523677,32787446.74
MU,2003,143,51,194,6089433,3771182,9860615,316614,10177229,31272552.1
MU,2004,143,49,192,6441860,3850690,10292550,281790,10574340,32645741.16
MU,2005,142,51,193,6265106,3604366,9869472,316528,10186000,31835863.54
MU,2006,139,57,196,6471524,4027436,10498960,447550,10946510,32884347.2
MU,2007,141,56,197,6113772,4176191,10289963,437740,10727703,31384733.94
MU,2008,140,59,199,5879677,3759948,9639625,434325,10073950,30687685.05
MU,2009,145,62,207,5545767,3872973,9418740,446259,9864999,29741222.25
MU,2010,141,67,208,5732469,3885332,9617801,563160,10180961,30529712.3
MU,2011,134,66,200,6073405,4145218,10218623,622429,10841052,32123868.2
MU,2012,137,65,202,5722525,3782149,9504674,547953,10052627,30627323.96
MU,2013,136,66,202,5948719,3596282,9545001,628514,10173515,32610703.07
MU,2014,139,63,202,6542631,3851635,10394266,679770,11074036,35546280.67
MU,2015,143,60,203,7244233,3767286,11011519,653733,11665252,45824406.61
MU,2016,144,59,203,7941141,4033809,11974950,625666,12600616,54539244.23
MU,2017,151,59,210,8450776,4522221,12972997,634155,13607152,64214691.77
MU,2018,154,59,213,8427768,4887322,13315090,697580,14012670,73897739.56
MOAA,1996,66,101,167,5618605,3426272,9044877,6180140,15225017,25094229.63
MOAA,1997,70,113,183,5981640,3893708,9875348,5604467,15479815,26816719.78
MOAA,1998,68,117,185,7214425,4223741,11438166,5224787,16662953,32672357.16
MOAA,1999,73,112,185,7246398,4448457,11694855,4976928,16671783,32834402.64
MOAA,2000,76,118,194,6966989,3778561,10745550,6110562,16856112,28245726.3
MOAA,2001,78,121,199,6660255,3367564,10027819,5289095,15316914,28530293.55
MOAA,2002,80,120,200,5249757,3105471,8355228,6626583,14981811,28122739.93
MOAA,2003,81,126,207,4759414,3368576,8127990,7199672,15327662,28718994.13
MOAA,2004,82,129,211,4885354,3480756,8366110,8063515,16429625,30177100.94
MOAA,2005,80,130,210,4818601,3238235,8056836,8733508,16790344,30682882.83
MOAA,2006,79,127,206,5035845,3227466,8263311,8552824,16816135,33843486.76
MOAA,2007,82,121,203,4918258,3320598,8238856,8124201,16363057,34237406.84
MOAA,2008,82,120,202,4462992,2960074,7423066,8340620,15763686,31503090.57
MOAA,2009,81,135,216,4064704,3052248,7116952,8288301,15405253,28104018.94
MOAA,2010,82,134,216,4362324,3335106,7697430,11678938,19376368,30591211.97
MOAA,2011,86,145,231,5453713,3414479,8868192,13435794,22303986,37958605.53
MOAA,2012,87,144,231,5035245,3000302,8035547,11041459,19077006,37918441.44
MOAA,2013,88,143,231,5176531,2877146,8053677,11436242,19489919,39376649.23
MOAA,2014,88,147,235,5570386,2980529,8550915,11461413,20012328,42130178.69
MOAA,2015,93,149,242,6084909,2961722,9046631,12766439,21813070,47077596.93
MOAA,2016,103,147,250,7070187,3123488,10193675,12425255,22618930,55592793.84
MOAA,2017,115,165,280,7365504,3452787,10818291,14559917,25378208,60298011.72
MOAA,2018,119,156,275,7700690,3688282,11388972,18243806,29632778,76794322.77
CIMU,1996,0,0,0,0,0,0,0,0,0
CIMU,1997,0,0,0,0,0,0,0,0,0
CIMU,1998,0,0,0,0,0,0,0,0,0
CIMU,1999,0,0,0,116994,10835,127829,0,127829,1062607.49
CIMU,2000,0,0,0,1873271,573389,2446660,0,2446660,15387548.22
CIMU,2001,0,0,0,2538384,1153749,3692133,0,3692133,19315875.63
CIMU,2002,0,0,0,3383573,1379426,4762999,0,4762999,24934335.5
CIMU,2003,0,0,0,3583943,1362409,4946352,0,4946352,25296835.5
CIMU,2004,0,0,0,3833578,1389097,5222675,0,5222675,27264740.53
CIMU,2005,0,0,0,4446048,1625745,6071793,0,6071793,31452686.61
CIMU,2006,0,0,0,4957148,1854798,6811946,0,6811946,37683642.94
CIMU,2007,0,0,0,5214913,2137424,7352337,0,7352337,40411033.86
CIMU,2008,0,0,0,5260066,2008946,7269012,0,7269012,41819650.32
CIMU,2009,0,0,0,4993895,2115997,7109892,0,7109892,39206699.75
CIMU,2010,0,0,0,5421659,2357973,7779632,0,7779632,43363382.07
CIMU,2011,0,0,0,5703118,2375478,8078596,0,8078596,46926203.7
CIMU,2012,0,0,0,6043147,2026015,8069162,0,8069162,49966092.43
CIMU,2013,0,0,0,6524579,2236574,8761153,0,8761153,54430115.08
CIMU,2014,0,0,0,6957239,2701160,9658399,0,9658399,57834242.37
CIMU,2015,0,0,0,7439137,2874703,10313840,0,10313840,62592411.35
CIMU,2016,0,0,0,7554289,2610038,10164327,0,10164327,63308705.69
CIMU,2017,0,0,0,8252424,2931532,11183956,0,11183956,69403061.59
CIMU,2018,0,0,0,8855427,2812897,11668324,0,11668324,78939036.61
